id,word,simple_word,kinds,num_defs,def_freq,wiki_freq,crea_freq,ngram_freq,afi,commonness
02U2c7i,abarcable,abarcable,adj,1,0,7.0,0.2,857.0,a.baɾ.ˈka.ble,1
02UQyyS,"abarcador, ra",abarcador,adj,1,2,22.0,0.3,1755.0,a.baɾ.ka.ˈd̪oɾ,1
02WEpxO,abarcar,abarcar,verb,7,43,4748.0,4.77,35504.0,a.baɾ.ˈkaɾ,3
02YRxcn,abarcón,abarcón,sust,2,0,0.0,,4.0,a.baɾ.ˈkon,0
02hg1uz,"abarquero, ra",abarquero,sust,1,0,2.0,0.01,5.0,a.baɾ.ˈke.ɾo,0
02lbpVI,abarquillar,abarquillar,verb,1,8,3.0,,13.0,a.baɾ.ki.ˈʝaɾ,1
02oJMO2,abarracar,abarracar,verb,1,0,0.0,,1.0,a.ba.ra.ˈkaɾ,0
02wit3G,abarraganarse,abarraganarse,verb,1,0,0.0,,8.0,a.ba.ra.ga.ˈnaɾ.se,0
0344xtp,abarrancar,abarrancar,verb,4,0,3.0,,6.0,a.ba.ran.ˈkaɾ,0
03FQUsP,abarrotar,abarrotar,verb,7,3,85.0,0.09,487.0,a.ba.ro.ˈt̪aɾ,0
03bsJ2z,abastar,abastar,verb,3,6,6.0,,73.0,a.bas.ˈt̪aɾ,1
03c5TEh,"abastecedor, ra",abastecedor,"adj,sust",2,2,64.0,0.34,911.0,a.bas.t̪e.θe.ˈd̪oɾ,1
03damMg,abastecer,abastecer,verb,1,15,1032.0,2.49,11187.0,a.bas.t̪e.ˈθeɾ,2
03eFnHY,abastecimiento,abastecimiento,sust,1,2,984.0,9.09,32816.0,a.bas.t̪e.θi.ˈmjen.t̪o,3
03f5dfM,abastionar,abastionar,verb,1,1,0.0,,2.0,a.bas.t̪jo.ˈnaɾ,0
03gE0CU,abasto,abasto,"sust,adv",5,7,188.0,3.27,12073.0,a.ˈbas.t̪o,2
03ipqqD,abatanar,abatanar,verb,3,4,0.0,,101.0,a.ba.t̪a.ˈnaɾ,0
03oNHyj,abatible,abatible,adj,1,4,40.0,0.17,1725.0,a.ba.ˈt̪i.ble,1
03oqGow,abatimiento,abatimiento,sust,5,8,32.0,2.15,20119.0,a.ba.t̪i.ˈmjen.t̪o,2
03pLvZ5,abatir,abatir,verb,11,41,537.0,1.61,9749.0,a.ba.ˈt̪iɾ,2
03ri2Bn,abazón,abazón,sust,1,3,3.0,,5.0,a.ba.ˈθon,0
03vi7ZL,abdicación,abdicación,sust,2,2,365.0,1.09,8288.0,ab.d̪i.ka.ˈθjon,2
03wSp0q,abdicar,abdicar,verb,3,2,530.0,0.83,4904.0,ab.d̪i.ˈkaɾ,2
0420SSU,"abdicativo, va",abdicativo,adj,1,0,0.0,,24.0,ab.d̪i.ka.ˈt̪i.bo,0
042Vuq2,abdomen,abdomen,sust,5,53,674.0,8.39,86465.0,ab.ˈd̪o.men,3
042kBjt,abdominal,abdominal,adj,2,24,543.0,6.34,72351.0,ab.d̪o.mi.ˈnal,3
0434qqm,abducción,abducción,sust,2,1,62.0,1.23,12384.0,ab.d̪uk.ˈθjon,2
045kQdy,"abductor, ra",abductor,adj,2,0,37.0,0.34,1648.0,ab.d̪uk.ˈt̪oɾ,1
046Dm60,abecedario,abecedario,sust,6,15,59.0,0.74,5442.0,a.be.θe.ˈd̪a.ɾjo,2
045miOw,abecé,abecé,sust,3,1,0.0,0.08,842.0,a.be.ˈse,0
049csrw,abedul,abedul,sust,2,2,208.0,0.97,6318.0,a.be.ˈd̪ul,2
04GdSYD,abeja,abeja,sust,2,78,1205.0,2.09,22003.0,a.ˈbe.xa,2
04J7hIl,abejar,abejar,sust,1,0,12.0,0.02,25.0,a.be.ˈxaɾ,0
04J8cdT,abejarrón,abejarrón,sust,1,0,0.0,,6.0,a.be.xa.ˈron,0
04LW1sQ,abejaruco,abejaruco,sust,1,1,60.0,0.04,185.0,a.be.xa.ˈɾu.ko,0
04NPHBm,"abejero, ra",abejero,sust,4,0,20.0,0.09,105.0,a.be.ˈxe.ɾo,0
04VeHIW,abejorreo,abejorreo,sust,2,0,0.0,0.01,115.0,a.be.xo.ˈre.o,0
04XEhnk,abejorro,abejorro,sust,3,3,93.0,0.24,2223.0,a.be.ˈxo.ro,1
04POVQJ,abejón,abejón,sust,5,1,3.0,0.11,144.0,a.be.ˈxon,0
04XcM6I,abellacar,abellacar,verb,1,0,0.0,,3.0,a.be.ʝa.ˈkaɾ,0
04eNVKL,abemolar,abemolar,verb,2,0,0.0,,2.0,a.be.mo.ˈlaɾ,0
04foOU0,abencerraje,abencerraje,sust,1,0,11.0,0.01,226.0,a.ben.θe.ˈra.xe,0
04nrYG2,aberración,aberración,sust,5,3,130.0,2.45,11344.0,a.be.ra.ˈθjon,2
04sX0p5,aberrante,aberrante,adj,1,0,43.0,2.11,8112.0,a.be.ˈran.t̪e,2
04tybYj,aberrar,aberrar,verb,1,0,1.0,0.01,11.0,a.be.ˈraɾ,0
053odzB,abertura,abertura,sust,10,185,857.0,6.1,51958.0,a.beɾ.ˈt̪u.ɾa,4
056VtMR,"abestiado, da",abestiado,adj,1,0,0.0,,14.0,a.bes.ˈt̪ja.d̪o,0
057VRyH,abetal,abetal,sust,1,0,7.0,0.15,70.0,a.be.ˈt̪al,0
058PsaH,abeto,abeto,sust,2,7,274.0,0.9,8664.0,a.ˈbe.t̪o,2
059f60x,"abetunado, da",abetunado,adj,1,0,0.0,,9.0,a.be.t̪u.ˈna.d̪o,0
05DuR3F,abiar,abiar,sust,1,0,6.0,,12.0,a.ˈbjaɾ,0
05NHYpw,"abierto, ta",abierto,"adj,sust",13,184,42.0,69.88,444233.0,a.ˈbjeɾ.t̪o,4
05P2wnn,"abietáceo, a",abietáceo,adj,1,5,0.0,,3.0,a.bje.ˈt̪a.θe.o,1
05V0c2o,abigarrar,abigarrar,verb,2,6,77.0,0.0,20.0,a.bi.ga.ˈraɾ,1
05VZb9P,abigeato,abigeato,sust,1,0,10.0,0.22,598.0,a.bi.xe.ˈa.t̪o,1
05Vh9xm,abigeo,abigeo,sust,1,0,5.0,0.05,179.0,a.bi.ˈxe.o,0
05cPT2y,abintestato,abintestato,sust,1,0,5.0,0.01,3736.0,a.bin.t̪es.ˈt̪a.t̪o,0
